Road Name,Number of Contracts,Total Length of Works (Km),Condition Category
Z7031,0,0.0,A
R164,0,0.0,A
Z7458,0,0.0,A
Z1081,0,0.0,A
Z8806,0,0.0,A
Z6005,0,0.0,A
Z7706,1,0.51,B
R712,0,0.0,A
Z1804,0,0.0,A
R558,0,0.0,A
Z6032,0,0.0,A
Z4617,0,0.0,A
Z1608,0,0.0,A
Z1442,0,0.0,A
N701,0,0.0,A
Z2801,0,0.0,A
Z8201,0,0.0,A
Z1049,0,0.0,A
Z5469,0,0.0,A
Z5614,0,0.0,A
Z1417,2,4.0,B
Z1420,0,0.0,A
Z5623,0,0.0,A
Z5062,0,0.0,A
Z5055,0,0.0,A
Z5804,1,0.5,B
Z2032,0,0.0,A
Z7505,0,0.0,A
Z3706,0,0.0,A
Z7411,0,0.0,A
R544,0,0.0,A
Z3031,0,0.0,A
N805,1,99.37,D
Z3006,0,0.0,A
Z5851,2,1.1,B
Z6019,0,0.0,A
R211,1,1.02,B
R450,0,0.0,A
Z1055,0,0.0,A
Z8702,2,2.418,B
Z5503,0,0.0,A
Z8057,0,0.0,A
R821,0,0.0,A
Z1062,1,1.7,B
Z1623,0,0.0,A
Z8002,0,0.0,A
Z5049,0,0.0,A
Z1037,0,0.0,A
N502,0,0.0,A
Z8035,0,0.0,A
Z5561,4,2.25,C
Z1123,0,0.0,A
Z8121,2,0.1,B
N109,0,0.0,A
