road,LRPName,length,condition,roadName
N1,LRP205a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP206a,2.95,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP207a,4.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP208d,2.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP209a,10.2,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP210a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP210b,8.2,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP210d,4.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP211a,4.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP213a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP213b,5.2,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP214a,8.2,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP215a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP217a,41.11,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP218a,4.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP218b,17.6,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP220a,4.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP221a,6.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP224a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP226a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP226b,40.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP230a,5.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP231a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP231b,18.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP232a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP233a,8.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
