road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,cleaned_name,LR_indicator,is_on_land,is_connected_to_road
N1,182.318,Box Culvert,LRP184a,IANAINIPOL BOX CULVERT.,9.7,A,100560,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,182.318,11.0,1989.0,2.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7693888888888,91.5755277777777,bcs1,IANAINIPOL BOX CULVERT,,True,True
N1,183.296,Box Culvert,LRP185a,BOKIMTOLA BOX CULVERT,4.0,A,100575,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,183.296,12.8,1992.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7622222222222,91.5810555555555,bcs1,BOKIMTOLA BOX CULVERT,,True,True
N1,184.654,Box Culvert,LRP186a,VARTAKA BOX CULVERT,12.9,A,100545,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,184.654,12.7,1999.0,2.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7526666666666,91.5892777777777,bcs1,VARTAKA BOX CULVERT,,True,True
N1,185.058,Box Culvert,LRP187a,VARTAGIA BOX CULVERT,3.0,A,100546,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,185.058,12.45,1992.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7496944444444,91.5915555555555,bcs1,VARTAGIA BOX CULVERT,,True,True
N1,188.35,Box Culvert,LRP190a,NIAZAMPUR BOX CULVERT,3.0,A,100549,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,188.35,12.2,1988.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7221111111111,91.603,bcs1,NIAZAMPUR BOX CULVERT,,True,True
N1,189.058,Box Culvert,LRP191a,MIRJAPUR BOX CULVERT,3.0,A,100551,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,189.058,12.2,1985.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7165277777777,91.6064444444444,bcs1,MIRJAPUR BOX CULVERT,R,True,True
N1,191.107,Box Culvert,LRP193a,DUKHIN UTHPAR BOX CULVERT,19.2,A,100556,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,191.107,12.2,1986.0,4.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.7001944444444,91.6154166666666,bcs1,DUKHIN UTHPAR BOX CULVERT,,True,True
N1,192.408,Box Culvert,LRP194a,VANGGARPOL BOX CULVERT,4.2,A,100558,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,192.408,12.2,1993.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.6895555555555,91.6208055555555,bcs1,VANGGARPOL BOX CULVERT,,True,True
N1,192.95,Box Culvert,LRP195a,BORO KAMALDA BOX CULVERT,3.2,A,100561,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,192.95,12.2,1984.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.6850833333333,91.6228055555555,bcs1,BORO KAMALDA BOX CULVERT,,True,True
N1,194.149,Box Culvert,LRP196a,TARAT BOX CULVERT,6.0,A,100562,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,194.149,12.1,1990.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.6751666666666,91.6274166666666,bcs1,TARAT BOX CULVERT,,True,True
N1,194.998,Box Culvert,LRP197a,Tarial Bazar Culvert,3.0,A,100563,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,194.998,12.2,1990.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.6679166666666,91.6300555555555,bcs1,TARIAL BAZAR CULVERT,,True,True
N1,195.501,Box Culvert,LRP197b,MIRJA PUR (3) BOX CULVERT,3.0,A,100564,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,195.501,12.1,1984.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.6637222222222,91.6320833333333,bcs1,MIRJA PUR BOX CULVERT,,True,True
N1,196.038,Box Culvert,LRP198a,SATU DURUAR HAT BOX CULVERT,3.0,A,100565,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,196.038,12.2,1986.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.6597777777777,91.6349444444444,bcs1,SATU DURUAR HAT BOX CULVERT,,True,True
N1,196.925,Box Culvert,LRP199a,RONA SORA CULVERT,3.1,A,100566,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,196.925,12.2,1984.0,1.0,Chittagong,Chittagong,Chittagong,Sitakunda,22.6527777777777,91.6390555555555,bcs1,RONA SORA CULVERT,,True,True
