,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRP075b,74.742,Round About,Noture hut more,24.0753882,89.0710549,,N704.lrps.htm
,LRP075c,75.384,Culvert,Box Culvert,24.0789993,89.0755827,,N704.lrps.htm
,LRP076,75.502,Km Post,Rajshasi 96 km Natore 47 km,24.096333,89.0764993,,N704.lrps.htm
,LRP076a,75.624,Culvert,Box Culvert,24.0803049,89.0774716,,N704.lrps.htm
,LRP077,76.532,Km Post,Natore 40 km Bogra 114 km,24.0853608,89.0845274,,N704.lrps.htm
,LRP078,77.502,Km Post,Bonpara 27 km Sirajganj 97 km,24.090583,89.0921108,,N704.lrps.htm
,LRP078a,77.642,Culvert,Box Culvert,24.0913608,89.0931941,,N704.lrps.htm
,LRP079,78.478,Km Post,Bonpara 26 km Sirajganj 96 km,24.0994719,89.0994719,,N704.lrps.htm
,LRP080,79.498,Km Post,Natore 43 km Rajshasi 92 km,24.1021944,89.1073611,,N704.lrps.htm
,LRP080a,79.814,Culvert,Box Culvert,24.1039444,89.1097222,,N704.lrps.htm
,LRP081,80.498,Km Post,Natore 42 km Dhaka 222 km,24.1082778,89.1144722,,N704.lrps.htm
,LRP081a,81.01,Culvert,Box Culvert,24.1118611,89.117666,,N704.lrps.htm
,LRP081b,81.193,"Side Road, Left",N 705 to lshwardi town old stion,24.1133611,89.1185827,,N704.lrps.htm
,LRPE,81.538,Others,End of at Dasuria more infront of Zakir motors Pabna and intersection N 6 & N 704.,24.1121389,89.1217216,,N704.lrps.htm
,,,,,,,,N704.lrps.htm
,,,,,,,,N704.lrps.htm
